199	108	17	45
200	109	16	45
198	112	16	47
194	113	19	47
193	117	18	51
191	120	19	52
190	123	18	50
188	124	19	48
183	127	22	47
180	126	19	52
175	128	20	55
173	131	21	55
171	135	19	52
170	134	16	52
165	137	20	49
161	137	19	52
159	138	16	51
153	140	18	55
150	141	19	57
145	143	20	54
140	143	24	53
137	144	22	51
136	144	21	52
134	143	21	54
133	143	22	54
132	143	24	54
133	143	24	54
136	143	23	54
136	145	28	51
142	144	24	53
149	144	24	52
154	144	26	52
159	143	25	51
167	141	20	52
171	140	24	52
173	139	26	52
180	137	23	52
184	134	22	53
190	134	22	51
195	129	22	51
197	128	21	52
199	125	22	52
202	122	23	47
203	120	23	48
206	116	21	53
206	113	22	53
207	110	20	49
206	107	23	50
207	106	20	48
204	103	21	48
203	103	21	47
199	100	22	49
198	99	20	49
196	99	21	48
193	95	20	51
188	93	20	47
187	91	18	50
183	90	22	45
183	86	18	48
181	84	19	50
179	84	20	45
178	79	19	46
176	76	19	49
175	77	20	48
174	73	19	44
173	71	18	46
171	70	18	42
170	68	18	42
166	67	20	44
163	67	21	39
161	63	18	43
159	61	19	41
154	59	20	44
155	56	16	46
150	53	18	48
148	51	18	49
145	50	19	48
142	47	16	47
140	46	17	48
138	46	19	46
135	44	18	45
132	42	17	48
130	40	19	44
130	39	17	47
130	38	17	46
130	38	17	43
130	36	16	48
131	35	17	46
131	34	17	45
132	34	16	46
133	32	15	43
133	31	17	45
135	31	17	43
138	31	15	44
140	31	16	44
140	32	17	40
141	32	17	42
142	32	17	41
144	36	16	36
143	38	17	36
144	41	17	35
146	44	16	35
146	45	18	35
151	48	16	35
155	50	17	38
157	52	17	34
162	56	17	40
167	61	16	40
169	63	17	40
177	72	18	38
184	78	17	36
188	81	18	43
190	88	19	39
194	91	20	39
199	98	19	41
202	100	18	41
204	109	20	46
209	113	19	45
211	118	21	49
214	124	20	48
215	130	19	50
217	140	21	47
219	144	19	49
219	149	22	54
219	158	20	50
218	161	21	50
213	168	24	52
210	174	24	55
208	181	19	53
203	183	21	51
196	186	26	56
187	191	22	57
179	192	27	56
172	195	29	54
164	193	21	57
158	193	27	56
150	191	25	57
143	189	22	57
138	188	25	56
135	186	22	51
132	181	19	56
126	178	25	59
125	176	25	59
124	170	21	57
123	167	21	55
122	165	21	59
121	159	21	52
120	156	22	54
120	153	23	55
122	149	20	54
121	145	21	54
121	141	21	56
119	137	23	52
120	134	22	53
120	131	21	55
120	129	21	54
119	124	22	52
118	121	20	53
118	120	20	53
116	114	21	52
117	112	20	52
117	111	20	47
117	107	20	49
117	105	20	50
118	104	18	45
118	102	19	45
121	98	16	48
122	95	16	48
122	94	17	49
124	92	17	45
126	89	16	47
127	87	15	48
128	89	15	44
127	85	18	47
127	84	18	45
128	85	17	44
130	85	15	43
132	84	15	42
133	84	17	42
134	84	15	41
136	87	17	21
137	87	15	18
139	88	15	18
138	91	14	18
136	93	16	18
135	92	16	20
133	94	18	43
134	95	17	46
132	95	20	47
134	97	22	47
136	98	21	46
139	97	19	48
138	98	21	46
138	99	19	45
138	99	19	47
137	100	20	49
138	101	20	47
136	102	20	47
138	102	18	47
134	103	17	48
128	105	20	48
125	106	21	47
122	103	17	51
120	103	17	49
117	102	19	49
113	101	22	50
113	101	19	49
114	102	19	49
112	101	22	47
112	101	22	49
112	101	20	50
110	98	20	52
110	98	17	51
111	97	18	49
112	95	19	49
111	90	20	52
111	88	19	47
111	89	19	47
112	85	18	47
